detector,group,condition,camouflage,gamma,auc_mean,auc_std,auc_min,auc_max,ap_mean,ap_std,n_seeds,auc,ap
DONE,indirect,A,global,0.6,0.16213052631578942,0.035125015826930325,0.1293263157894736,0.2092210526315789,0.036186946834666056,0.007713208704060548,5,0.16213052631578942,0.036186946834666056
DONE,indirect,A,global,0.7,0.10251368421052627,0.024459600248600312,0.0646736842105263,0.1242526315789473,0.034620795973158404,0.007743812740877703,5,0.10251368421052627,0.034620795973158404
DONE,indirect,A,global,0.8,0.09532210526315787,0.036658584721658505,0.0527368421052631,0.1356421052631579,0.031048274308256,0.0031095919737845314,5,0.09532210526315787,0.031048274308256
DONE,indirect,A,global,0.9,0.09870736842105257,0.03786335718309345,0.0614315789473684,0.1502947368421052,0.03361522563479112,0.00448942412822961,5,0.09870736842105257,0.03361522563479112
DONE,indirect,A,global,1.0,0.11281263157894734,0.020382582320448546,0.0878947368421052,0.1385473684210526,0.030357999843525642,0.0035359682622897403,5,0.11281263157894734,0.030357999843525642
DONE,indirect,A,local,0.0,0.7214315789473684,0.01525805359297124,0.6968421052631579,0.7343157894736841,0.09628396597322522,0.006929865826678055,5,0.7214315789473684,0.09628396597322522
DONE,indirect,A,local,0.1,0.6309936842105264,0.029367622701844592,0.5960210526315789,0.6717473684210526,0.0787657226201306,0.0071427890455589525,5,0.6309936842105264,0.0787657226201306
DONE,indirect,A,local,0.2,0.43388210526315796,0.04257956957453134,0.3990736842105263,0.4889684210526316,0.04941445053952266,0.00767165669852908,5,0.43388210526315796,0.04941445053952266
DONE,indirect,A,local,0.3,0.33775999999999995,0.01818226343448771,0.3171157894736842,0.3638736842105263,0.04392428012047368,0.008311663683755308,5,0.33775999999999995,0.04392428012047368
DONE,indirect,A,local,0.4,0.1955873684210526,0.06931485928321232,0.0950526315789473,0.2638736842105263,0.035174066023652514,0.009123305018393072,5,0.1955873684210526,0.035174066023652514
DONE,indirect,A,local,0.5,0.17358315789473683,0.05105255431356062,0.1063578947368421,0.2419578947368421,0.04402392669905668,0.020459738288102915,5,0.17358315789473683,0.04402392669905668
DONE,indirect,A,local,0.6,0.11601263157894733,0.04441694318731603,0.0874736842105263,0.193957894736842,0.038648580296903344,0.02232785188606624,5,0.11601263157894733,0.038648580296903344
DONE,indirect,A,local,0.7,0.11896842105263154,0.029146556792410065,0.0839578947368421,0.1641473684210526,0.0330784671705119,0.0038185097566638296,5,0.11896842105263154,0.0330784671705119
DONE,indirect,A,local,0.8,0.08433684210526313,0.018872113710453223,0.0672,0.1095368421052631,0.03343602505917452,0.013177646904329815,5,0.08433684210526313,0.03343602505917452
DONE,indirect,A,local,0.9,0.09177263157894731,0.011832931183261881,0.0841052631578947,0.1127368421052631,0.032552153237408496,0.005458364832064502,5,0.09177263157894731,0.032552153237408496
DONE,indirect,A,local,1.0,0.06587789473684208,0.03267016190998105,0.0193894736842105,0.1064421052631579,0.03275971198081708,0.006783421455635276,5,0.06587789473684208,0.03275971198081708
DONE,indirect,B,global,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5,1.0,1.0
DONE,indirect,B,global,0.1,1.0,0.0,1.0,1.0,1.0,0.0,5,1.0,1.0
DONE,indirect,B,global,0.2,0.9999915789473685,1.8830046126297244e-05,0.999957894736842,1.0,0.9998415686274509,0.0003542633187882431,5,0.9999915789473685,0.9998415686274509
DONE,indirect,B,global,0.3,1.0,0.0,1.0,1.0,1.0,0.0,5,1.0,1.0
DONE,indirect,B,global,0.4,1.0,0.0,1.0,1.0,1.0,0.0,5,1.0,1.0
DONE,indirect,B,global,0.5,1.0,0.0,1.0,1.0,1.0,0.0,5,1.0,1.0
DONE,indirect,B,global,0.6,0.9997936842105263,0.00029563772095226904,0.9992842105263158,1.0,0.9960718019081289,0.005568619083524805,5,0.9997936842105263,0.9960718019081289
DONE,indirect,B,global,0.7,0.9999747368421052,5.649013837898845e-05,0.9998736842105262,1.0,0.9995045397363386,0.001107882829696884,5,0.9999747368421052,0.9995045397363386
DONE,indirect,B,global,0.8,0.9999957894736842,9.415023063188965e-06,0.999978947368421,1.0,0.9999215686274511,0.00017537788058825788,5,0.9999957894736842,0.9999215686274511
DONE,indirect,B,global,0.9,0.9999915789473685,1.8830046126297244e-05,0.9999578947368422,1.0,0.9998461538461537,0.00034401045807692145,5,0.9999915789473685,0.9998461538461537
DONE,indirect,B,global,1.0,0.9999873684210525,1.883004612629854e-05,0.9999578947368422,1.0,0.9997677224736048,0.000344869082039934,5,0.9999873684210525,0.9997677224736048
DONE,indirect,B,local,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5,1.0,1.0
DONE,indirect,B,local,0.1,1.0,0.0,1.0,1.0,1.0,0.0,5,1.0,1.0
DONE,indirect,B,local,0.2,0.999978947368421,4.707511531581914e-05,0.9998947368421052,1.0,0.9995914962580776,0.0009134421360013345,5,0.999978947368421,0.9995914962580776
DONE,indirect,B,local,0.3,1.0,0.0,1.0,1.0,1.0,0.0,5,1.0,1.0
DONE,indirect,B,local,0.4,1.0,0.0,1.0,1.0,1.0,0.0,5,1.0,1.0
DONE,indirect,B,local,0.5,0.9999957894736842,9.415023063202927e-06,0.999978947368421,1.0,0.9999215686274511,0.00017537788058826566,5,0.9999957894736842,0.9999215686274511
DONE,indirect,B,local,0.6,0.9999915789473685,1.88300461263531e-05,0.999957894736842,1.0,0.9998415686274509,0.00035426331878828343,5,0.9999915789473685,0.9998415686274509
DONE,indirect,B,local,0.7,0.9999873684210527,2.8245069189430354e-05,0.9999368421052632,1.0,0.9997599359743898,0.0005367994802167158,5,0.9999873684210527,0.9997599359743898
DONE,indirect,B,local,0.8,0.9999578947368419,9.415023063160363e-05,0.9997894736842105,1.0,0.999214375958579,0.001756708761375315,5,0.9999578947368419,0.999214375958579
DONE,indirect,B,local,0.9,0.9999747368421052,2.306200242123694e-05,0.9999578947368422,1.0,0.9995384615384616,0.0004213250442347903,5,0.9999747368421052,0.9995384615384616
DONE,indirect,B,local,1.0,0.9999873684210527,1.8830046126297244e-05,0.9999578947368422,1.0,0.9997677224736048,0.0003448690820399342,5,0.9999873684210527,0.9997677224736048
DONE,indirect,C,none,0.0,0.9937263157894737,0.00867480830733305,0.9826105263157896,1.0,0.8720450026977792,0.19409131867245596,5,0.9937263157894737,0.8720450026977792
GAE,direct,A,global,0.0,0.5234484210526316,0.0540948144733725,0.4813894736842105,0.6163368421052632,0.06235433448758432,0.011563248265845132,5,0.5234484210526316,0.06235433448758432
GAE,direct,A,global,0.1,0.5232968421052632,0.05383036163537275,0.48145263157894735,0.6162105263157894,0.062315759460201514,0.011801213872863075,5,0.5232968421052632,0.062315759460201514
GAE,direct,A,global,0.2,0.5229263157894737,0.05457851646787219,0.481378947368421,0.6173263157894737,0.06200549141674633,0.011440099239105012,5,0.5229263157894737,0.06200549141674633
GAE,direct,A,global,0.3,0.5233052631578947,0.053786429515259665,0.4809368421052632,0.6159368421052631,0.062231401964800204,0.011680383113578916,5,0.5233052631578947,0.062231401964800204
GAE,direct,A,global,0.4,0.5223157894736843,0.05397283814677276,0.4805263157894737,0.6156421052631579,0.06225780291626433,0.011958504463343608,5,0.5223157894736843,0.06225780291626433
GAE,direct,A,global,0.5,0.5229031578947368,0.0544731952177391,0.4808,0.6170421052631578,0.06193348036698183,0.011454204892517653,5,0.5229031578947368,0.06193348036698183
GAE,direct,A,global,0.6,0.5225263157894736,0.05387220746212371,0.4803578947368421,0.6154526315789473,0.0620811780817502,0.011542574962858295,5,0.5225263157894736,0.0620811780817502
GAE,direct,A,global,0.7,0.5225894736842106,0.05408958763296975,0.47989473684210526,0.6157789473684211,0.06215822333198384,0.011624441736559809,5,0.5225894736842106,0.06215822333198384
GAE,direct,A,global,0.8,0.5229768421052631,0.05391086230800096,0.4798315789473684,0.6158526315789472,0.06197776589096101,0.011296233818126316,5,0.5229768421052631,0.06197776589096101
GAE,direct,A,global,0.9,0.5231726315789473,0.05446228896830897,0.4790315789473684,0.6168421052631579,0.062140417434282724,0.011517037365475094,5,0.5231726315789473,0.062140417434282724
