detector,camouflage,gamma,n_seeds,full,full_std,no_edges,no_edges_std,rand_feats,rand_feats_std,reliance,reliance_std,attr_share
DOMINANT,global,0.6,5,0.4092042105263157,0.07799279517829186,0.000926315789473688,0.0012215062678213658,0.490978947368421,0.030709602205011184,0.40827789473684206,0.07800236007509845,-0.900644592839918
DOMINANT,global,0.7,5,0.17576,0.03494559792598251,0.0,0.0,0.4908,0.03049232953817761,0.17576,0.03494559792598251,-0.9716259560819147
DOMINANT,global,0.8,5,0.13146526315789475,0.10359167829335689,0.0,0.0,0.4909936842105263,0.030803206653954144,0.13146526315789475,0.10359167829335689,-0.9755618266363522
DOMINANT,global,0.9,5,0.12518736842105263,0.07380350883865554,0.0,0.0,0.4911747368421052,0.031179133586280685,0.12518736842105263,0.07380350883865554,-0.9764542002741018
DOMINANT,global,1.0,5,0.1264842105263158,0.06365364207635324,0.0,0.0,0.4910063157894736,0.030974575938511852,0.1264842105263158,0.06365364207635324,-0.9759215421034831
DOMINANT,local,0.0,5,0.978981052631579,0.013575712384954322,0.6727621052631578,0.06992830582588618,0.4920505263157895,0.029198158026371542,0.30621894736842115,0.07123389588136865,1.0
DOMINANT,local,0.1,5,0.9303031578947369,0.01632413097465109,0.4972673684210527,0.10336383246327431,0.49129894736842095,0.03153386922956423,0.43303578947368426,0.10464491919617216,1.0
DOMINANT,local,0.2,5,0.8323705263157896,0.035801492099703014,0.32122526315789474,0.08001716491753778,0.49071578947368427,0.03078831666741946,0.5111452631578948,0.087661242964069,1.0
DOMINANT,local,0.3,5,0.6311031578947368,0.0476928645568694,0.18160842105263159,0.03142134214800941,0.49066526315789466,0.030754877909617145,0.4494947368421052,0.05711313397128687,1.0
DOMINANT,local,0.4,5,0.3363621052631579,0.07411820969444854,0.053204210526315784,0.020212337638130424,0.4906736842105263,0.0312069919006992,0.2831578947368421,0.07682478507036665,-0.9430063812268423
DOMINANT,local,0.5,5,0.10970526315789472,0.033176592890010174,0.016277894736842113,0.005417431595964354,0.4911957894736842,0.03061540321680289,0.0934273684210526,0.033615991445834624,-0.9774421489832247
DOMINANT,local,0.6,5,0.02559578947368422,0.016123631767844416,0.0016800000000000044,0.002147853402406031,0.49131789473684206,0.03018612107934993,0.023915789473684217,0.016266062081009922,-0.9816989287394271
DOMINANT,local,0.7,5,0.0022442105263157956,0.0026950082100204394,8.000000000000051e-05,9.34414358786195e-05,0.4911031578947368,0.03037629780180665,0.002164210526315795,0.0026966276261316895,-0.982126090156238
DOMINANT,local,0.8,5,0.0001768421052631597,0.00022408941626501425,0.0,0.0,0.49117894736842105,0.031671149607355946,0.0001768421052631597,0.00022408941626501425,-0.9823516527950938
DOMINANT,local,0.9,5,8.421052631579328e-06,1.883004612631487e-05,0.0,0.0,0.49079578947368424,0.03153628837965154,8.421052631579328e-06,1.883004612631487e-05,-0.9815912689055817
DOMINANT,local,1.0,5,0.0,0.0,0.0,0.0,0.49099368421052636,0.03179239582247563,0.0,0.0,-0.9819873684210527
DONE,global,0.0,5,0.6857894736842105,0.019565320668294355,0.5987368421052632,0.04479404639902252,0.4857431578947368,0.02924379291102157,0.08705263157894727,0.04888055201868089,1.0
DONE,global,0.1,5,0.5374905263157894,0.04317769609929658,0.441941052631579,0.037783962066909885,0.4902947368421053,0.03324770793757808,0.0955494736842104,0.05737544099975961,1.0
DONE,global,0.2,5,0.3842568421052631,0.037808150786939776,0.2847031578947369,0.04222471896847578,0.48767157894736834,0.02436683455106099,0.09955368421052624,0.05667788949753451,-0.8934846665939097
DONE,global,0.3,5,0.2222273684210526,0.03192177210973785,0.18433263157894736,0.0278183757200314,0.5153052631578948,0.03182136079381406,0.03789473684210523,0.042342196002650476,-1.0
DONE,global,0.4,5,0.13818105263157895,0.03862609626948329,0.11013894736842107,0.03982180696866113,0.49392,0.032880286173276624,0.028042105263157882,0.055477487535654485,-0.9831960154540801
DONE,global,0.5,5,0.056762105263157905,0.020516437029017755,0.10226105263157896,0.03854424834307201,0.5055915789473684,0.025999836351498665,-0.045498947368421055,0.04366443940666203,-1.0
DONE,global,0.6,5,0.05129263157894737,0.01891656326215123,0.07434947368421052,0.03350538584894116,0.5009347368421053,0.02495977750451297,-0.023056842105263153,0.03847658049433962,-1.0
