detector,group,condition,camouflage,gamma,seed,n_nodes,auc,ap
DONE,indirect,A,global,0.2,3,1000,0.4523789473684211,0.0463729141914104
DONE,indirect,A,global,0.2,4,1000,0.4629263157894737,0.0816391391347593
DONE,indirect,A,global,0.3,0,1000,0.2793894736842106,0.0332022216573343
DONE,indirect,A,global,0.3,1,1000,0.3793894736842105,0.0376108700369351
DONE,indirect,A,global,0.3,2,1000,0.4245263157894737,0.0536143674138135
DONE,indirect,A,global,0.3,3,1000,0.2955578947368421,0.0335903913976265
DONE,indirect,A,global,0.3,4,1000,0.3992421052631579,0.0459145436320854
DONE,indirect,A,global,0.4,0,1000,0.2167157894736842,0.035072871939323
DONE,indirect,A,global,0.4,1,1000,0.1722526315789473,0.0290020429352735
DONE,indirect,A,global,0.4,2,1000,0.2198526315789473,0.0439101847067194
DONE,indirect,A,global,0.4,3,1000,0.1801684210526315,0.0295403718019849
DONE,indirect,A,global,0.4,4,1000,0.2868842105263158,0.043857783907836
DONE,indirect,A,global,0.5,0,1000,0.1262105263157894,0.0284522971961203
DONE,indirect,A,global,0.5,1,1000,0.1120421052631579,0.0280841305873045
DONE,indirect,A,global,0.5,2,1000,0.1847368421052631,0.0315669952606536
DONE,indirect,A,global,0.5,3,1000,0.2431368421052631,0.0839806565538183
DONE,indirect,A,global,0.5,4,1000,0.1829684210526316,0.0473702108746594
DONE,indirect,A,global,0.6,0,1000,0.1857473684210526,0.0360308145963143
DONE,indirect,A,global,0.6,1,1000,0.1293263157894736,0.0289693934466643
DONE,indirect,A,global,0.6,2,1000,0.1296631578947368,0.0282858353237164
DONE,indirect,A,global,0.6,3,1000,0.2092210526315789,0.0419845596870277
DONE,indirect,A,global,0.6,4,1000,0.1566947368421052,0.0456641311196076
DONE,indirect,A,global,0.7,0,1000,0.0915157894736842,0.0290810471425655
DONE,indirect,A,global,0.7,1,1000,0.0646736842105263,0.0464009597854582
DONE,indirect,A,global,0.7,2,1000,0.1242526315789473,0.0279590902563028
