detector,camouflage,gamma,seed,n_seeds,condition,auc
AnomalyDAE,local,0.9,3,5,rand_feats,0.4472
AnomalyDAE,local,0.9,4,5,full,0.0
AnomalyDAE,local,0.9,4,5,no_edges,0.15703157894736844
AnomalyDAE,local,0.9,4,5,rand_feats,0.4746947368421053
AnomalyDAE,local,1.0,0,5,full,0.06964210526315791
AnomalyDAE,local,1.0,0,5,no_edges,0.0
AnomalyDAE,local,1.0,0,5,rand_feats,0.48166315789473685
AnomalyDAE,local,1.0,1,5,full,0.0
AnomalyDAE,local,1.0,1,5,no_edges,0.0
AnomalyDAE,local,1.0,1,5,rand_feats,0.5089684210526315
AnomalyDAE,local,1.0,2,5,full,0.0
AnomalyDAE,local,1.0,2,5,no_edges,0.2122105263157895
AnomalyDAE,local,1.0,2,5,rand_feats,0.5014736842105263
AnomalyDAE,local,1.0,3,5,full,0.10543157894736843
AnomalyDAE,local,1.0,3,5,no_edges,0.1851368421052632
AnomalyDAE,local,1.0,3,5,rand_feats,0.4621894736842106
AnomalyDAE,local,1.0,4,5,full,0.0
AnomalyDAE,local,1.0,4,5,no_edges,0.1951578947368421
AnomalyDAE,local,1.0,4,5,rand_feats,0.4731157894736842
CoLA,global,0.0,0,5,full,0.7636000000000001
CoLA,global,0.0,0,5,no_edges,0.46071578947368425
CoLA,global,0.0,0,5,rand_feats,0.42486315789473683
CoLA,global,0.0,1,5,full,0.727621052631579
CoLA,global,0.0,1,5,no_edges,0.45267368421052634
CoLA,global,0.0,1,5,rand_feats,0.515242105263158
CoLA,global,0.0,2,5,full,0.7137684210526316
CoLA,global,0.0,2,5,no_edges,0.4376631578947368
CoLA,global,0.0,2,5,rand_feats,0.48254736842105267
CoLA,global,0.0,3,5,full,0.7043368421052632
CoLA,global,0.0,3,5,no_edges,0.3718105263157895
CoLA,global,0.0,3,5,rand_feats,0.5370526315789473
CoLA,global,0.0,4,5,full,0.6317473684210526
CoLA,global,0.0,4,5,no_edges,0.3792
CoLA,global,0.0,4,5,rand_feats,0.5145052631578948
CoLA,global,0.1,0,5,full,0.7353473684210525
CoLA,global,0.1,0,5,no_edges,0.4702526315789473
CoLA,global,0.1,0,5,rand_feats,0.41393684210526316
CoLA,global,0.1,1,5,full,0.6736000000000001
CoLA,global,0.1,1,5,no_edges,0.48185263157894737
CoLA,global,0.1,1,5,rand_feats,0.5302736842105263
CoLA,global,0.1,2,5,full,0.7019789473684211
